Bx(GPa)	By(GPa)
-0.000000	-7142.856952
-124.757753	-7147.366913
-250.065314	-7160.933674
-376.479923	-7183.664871
-504.573977	-7215.744049
-634.943239	-7257.434439
-768.215569	-7309.082909
-905.060725	-7371.128089
-1046.201085	-7444.107529
-1192.425180	-7528.676292
-1344.601990	-7625.616831
-1503.698992	-7735.860696
-1670.802974	-7860.509988
-1847.147709	-8000.875747
-2034.144050	-8158.506179
-2233.421112	-8335.241075
-2446.876461	-8533.272320
-2676.740538	-8755.223808
-2925.657975	-9004.249396
-3196.798810	-9284.177888
-3493.994928	-9599.672178
-3821.936782	-9956.485727
-4186.429436	-10361.776471
-4594.755036	-10824.564534
-5056.178055	-11356.361860
-5582.672399	-11972.079608
-6190.015491	-12691.412556
-6899.410628	-13540.855796
-7740.066657	-14556.948223
-8753.371994	-15791.501116
-9999.999516	-17320.507258
-11572.620475	-19260.074837
-13620.221950	-21796.911507
-16398.570187	-25251.583719
-20386.787807	-30224.655916
-26599.250014	-37987.665938
-37622.927664	-51783.517502
-62593.091380	-83063.837898
-173624.079541	-222228.688066
244311.568210	301699.661320
73517.490022	87614.732979
43886.972091	50486.186257
31585.288436	35079.016674
24850.700836	26649.114040
20601.948992	21333.942738
17677.666747	17677.666775
15542.570107	15009.285509
13915.660190	12976.563083
12635.264518	11376.843292
11601.786868	10085.279477
10750.496914	9020.738012
10037.518487	8128.222219
9432.064836	7369.136699
8911.879610	6715.582987
8460.479620	6146.898264
8065.406742	5647.458611
7717.060857	5205.223284
7407.927116	4810.764130
7132.039545	4456.592938
6884.608223	4136.689969
6661.733853	3846.153843
6460.218872	3580.957804
6277.412245	3337.759306
6111.099563	3113.760761
5959.419425	2906.603071
5820.793175	2714.280442
5693.876582	2535.077193
5577.515065	2367.514690
5470.719134	2210.314012
5372.628026	2062.358681
5282.495530	1922.671143
5199.672292	1790.390757
5123.590154	1664.755364
5053.750065	1545.086458
4989.713936	1430.777454
4931.096742	1321.283397
4877.559915	1216.112279
4828.803010	1114.817023
4784.564133	1016.990508
4744.610732	922.258908
4708.739516	830.277829
4676.772307	740.727971
4648.553741	653.311630
4623.951513	567.749863
4602.849346	483.778968
4585.151024	401.148742
4570.776716	319.619851
4559.662085	238.961771
4551.757875	158.950895
4547.028769	79.368690
4545.454811	0.000007
4547.028769	-79.368675
4551.757875	-158.950880
4559.662085	-238.961757
4570.776717	-319.619836
4585.151025	-401.148727
4602.849348	-483.778953
4623.951515	-567.749848
4648.553743	-653.311615
4676.772310	-740.727956
4708.739519	-830.277814
4744.610735	-922.258893
4784.564136	-1016.990493
4828.803014	-1114.817008
4877.559918	-1216.112264
4931.096747	-1321.283381
4989.713940	-1430.777438
5053.750069	-1545.086442
5123.590159	-1664.755347
5199.672298	-1790.390741
5282.495536	-1922.671126
5372.628033	-2062.358663
5470.718671	-2210.313805
5577.515072	-2367.514672
5693.876074	-2535.076945
5820.793184	-2714.280424
5959.419434	-2906.603052
6111.099573	-3113.760741
6277.412256	-3337.759286
6460.218883	-3580.957784
6661.733865	-3846.153821
6884.608236	-4136.689946
7132.039559	-4456.592916
7407.927131	-4810.764106
7717.059828	-5205.222554
8065.406760	-5647.458585
8460.479640	-6146.898237
8911.879631	-6715.582958
9432.064860	-7369.136669
10037.518513	-8128.222187
10750.496943	-9020.737977
11601.784305	-10085.277184
12635.264554	-11376.843252
13915.660232	-12976.563038
15542.565269	-15009.280740
17677.666803	-17677.666718
20601.949061	-21333.942672
24850.700922	-26649.113960
31585.288548	-35079.016573
43886.972254	-50486.186116
73517.490303	-87614.732743
244311.569178	-301699.660536
-173624.080254	222228.687509
-62593.091646	83063.837698
-37622.927830	51783.517381
-26599.250136	37987.665853
-20386.787904	30224.655850
-16398.570268	25251.583667
-13620.222020	21796.911463
-11572.620537	19260.074800
-9999.999571	17320.507226
-8753.372045	15791.501088
-7740.066704	14556.948198
-6899.410671	13540.855773
-6190.015532	12691.412536
-5582.673510	11972.081891
-5056.178092	11356.361844
-4594.755071	10824.564519
-4186.429469	10361.776457
-3821.936814	9956.485715
-3493.994958	9599.672167
-3196.798840	9284.177877
-2925.658206	9004.250006
-2676.740566	8755.223800
-2446.876488	8533.272313
-2233.421139	8335.241068
-2034.144076	8158.506173
-1847.147735	8000.875741
-1670.803000	7860.509983
-1503.699017	7735.860691
-1344.602015	7625.616827
-1192.425204	7528.676288
-1046.201109	7444.107526
-905.060749	7371.128086
-768.215592	7309.082907
-634.943262	7257.434437
-504.574000	7215.744047
-376.479946	7183.664870
-250.065337	7160.933673
-124.757776	7147.366912
-0.000023	7142.856952
124.757730	7147.366913
250.065291	7160.933675
376.479900	7183.664872
504.573953	7215.744051
634.943216	7257.434441
768.215545	7309.082912
905.060701	7371.128092
1046.201061	7444.107532
1192.425155	7528.676295
1344.601966	7625.616835
1503.698967	7735.860701
1670.802949	7860.509994
1847.147683	8000.875753
2034.144024	8158.506186
2233.421086	8335.241082
2446.876433	8533.272328
2676.740510	8755.223817
2925.657946	9004.249405
3196.798780	9284.177898
3493.994897	9599.672189
3821.936750	9956.485739
4186.429402	10361.776484
4594.755001	10824.564549
5056.178019	11356.361876
5582.672360	11972.079626
6190.015450	12691.412576
6899.410584	13540.855818
7740.064753	14556.944755
8753.371943	15791.501144
9999.999460	17320.507290
11572.620413	19260.074875
13620.221880	21796.911551
16398.570105	25251.583772
20386.782302	30224.647964
26599.249892	37987.666024
37622.927498	51783.517623
