Ex(GPa)	Ey(GPa)
0.000000	649.350663
11.336452	649.464889
22.691764	649.807113
34.084750	650.375766
45.534077	651.167639
57.058279	652.179108
68.675615	653.404827
80.404042	654.838370
92.261104	656.471867
104.263837	658.295960
116.428770	660.300367
128.771615	662.472528
141.307270	664.798438
154.049711	667.262605
167.011720	669.847421
180.204739	672.533243
193.638725	675.298486
207.321888	678.119342
221.260416	680.969541
235.458502	683.821144
249.917542	686.642804
264.636467	689.401568
279.611047	692.061627
294.833919	694.585185
310.294075	696.931904
325.976575	699.059021
341.862835	700.922685
357.929709	702.476608
374.149781	703.673396
390.491173	704.464724
406.917604	704.801965
423.388284	704.636435
439.858183	703.920239
456.278273	702.606927
472.595876	700.652201
488.755033	698.014528
504.697467	694.656470
520.362659	690.544573
535.689289	685.651024
550.615750	679.953825
565.081103	673.437435
579.026341	666.093610
592.395043	657.921349
605.134530	648.927336
617.196756	639.125951
628.539388	628.539389
639.125950	617.196757
648.927335	605.134531
657.921416	592.395105
666.093609	579.026342
673.437434	565.081104
679.953824	550.615751
685.650954	535.689236
690.544572	520.362660
694.656469	504.697468
698.014527	488.755034
700.652200	472.595878
702.606927	456.278274
703.920306	439.858227
704.636434	423.388285
704.801965	406.917605
704.464724	390.491174
703.673395	374.149782
702.476607	357.929710
700.922685	341.862836
699.059209	325.976663
696.931903	310.294076
694.585185	294.833920
692.061626	279.611048
689.401627	264.636491
686.642804	249.917543
683.821144	235.458503
680.969540	221.260417
678.119398	207.321907
675.298541	193.638742
672.533243	180.204740
669.847367	167.011707
667.262605	154.049712
664.798332	141.307249
662.472527	128.771616
660.300366	116.428771
658.296011	104.263846
656.471867	92.261105
654.838370	80.404043
653.404827	68.675616
652.179158	57.058284
651.167639	45.534078
650.375766	34.084751
649.807113	22.691765
649.464889	11.336453
649.350663	0.000001
649.464889	-11.336451
649.807113	-22.691763
650.375766	-34.084749
651.167590	-45.534072
652.179158	-57.058282
653.404827	-68.675614
654.838370	-80.404041
656.471867	-92.261103
658.296012	-104.263844
660.300367	-116.428769
662.472528	-128.771614
664.798333	-141.307247
667.262605	-154.049709
669.847368	-167.011705
672.533243	-180.204738
675.298541	-193.638739
678.119398	-207.321904
680.969541	-221.260415
683.821087	-235.458481
686.642805	-249.917541
689.401628	-264.636489
692.061627	-279.611046
694.585186	-294.833917
696.931904	-310.294074
699.059021	-325.976573
700.922686	-341.862834
702.476608	-357.929708
703.673397	-374.149780
704.464725	-390.491172
704.801966	-406.917603
704.636435	-423.388283
703.920308	-439.858224
702.606928	-456.278272
700.652202	-472.595875
698.014528	-488.755032
694.656471	-504.697466
690.544574	-520.362658
685.650956	-535.689234
679.953826	-550.615749
673.437436	-565.081102
666.093611	-579.026340
657.921418	-592.395103
648.927337	-605.134529
639.126084	-617.196882
628.539390	-628.539387
617.196758	-639.125949
605.134532	-648.927334
592.395045	-657.921347
579.026343	-666.093609
565.081105	-673.437434
550.615752	-679.953823
535.689292	-685.651023
520.362661	-690.544571
504.697470	-694.656469
488.755036	-698.014526
472.595879	-700.652200
456.278275	-702.606926
439.858185	-703.920238
423.388286	-704.636433
406.917606	-704.801964
390.491138	-704.464657
374.149783	-703.673395
357.929711	-702.476607
341.862838	-700.922684
325.976665	-699.059208
310.294077	-696.931903
294.833921	-694.585184
279.611049	-692.061626
264.636470	-689.401567
249.917544	-686.642803
235.458504	-683.821143
221.260418	-680.969540
207.321891	-678.119341
193.638727	-675.298485
180.204741	-672.533242
167.011722	-669.847421
154.049713	-667.262605
141.307261	-664.798385
128.771617	-662.472527
116.428772	-660.300366
104.263839	-658.295960
92.261106	-656.471867
80.404044	-654.838370
68.675617	-653.404827
57.058281	-652.179108
45.534079	-651.167639
34.084752	-650.375766
22.691766	-649.807113
11.336454	-649.464889
0.000002	-649.350663
-11.336450	-649.464889
-22.691762	-649.807113
-34.084747	-650.375766
-45.534075	-651.167639
-57.058276	-652.179108
-68.675613	-653.404827
-80.404040	-654.838370
