T(K)	A_el(eV/cell)	S_el(eV/K.cell)	U_el(eV/cell)
5.000000	-3231.133789	0.000000e+00	-3231.133789
45.000000	-3231.133819	1.622460e-06	-3231.133746
85.000000	-3231.133913	3.087408e-06	-3231.133651
125.000000	-3231.134066	4.540040e-06	-3231.133499
165.000000	-3231.134277	5.992572e-06	-3231.133288
205.000000	-3231.134546	7.447510e-06	-3231.133020
245.000000	-3231.134873	8.901431e-06	-3231.132693
285.000000	-3231.135259	1.035712e-05	-3231.132307
325.000000	-3231.135703	1.181750e-05	-3231.131862
365.000000	-3231.136205	1.328037e-05	-3231.131358
405.000000	-3231.136766	1.474882e-05	-3231.130793
445.000000	-3231.137385	1.622444e-05	-3231.130166
485.000000	-3231.138065	1.771113e-05	-3231.129475
525.000000	-3231.138804	1.920641e-05	-3231.128720
565.000000	-3231.139602	2.071400e-05	-3231.127899
605.000000	-3231.140461	2.223560e-05	-3231.127008
645.000000	-3231.141383	2.377547e-05	-3231.126048
685.000000	-3231.142365	2.533004e-05	-3231.125014
725.000000	-3231.143410	2.690313e-05	-3231.123905
765.000000	-3231.144518	2.849599e-05	-3231.122719
805.000000	-3231.145693	3.011246e-05	-3231.121452
845.000000	-3231.146930	3.174804e-05	-3231.120103
885.000000	-3231.148233	3.340620e-05	-3231.118669
925.000000	-3231.149604	3.508904e-05	-3231.117147
965.000000	-3231.151043	3.679568e-05	-3231.115535
1005.000000	-3231.152549	3.852536e-05	-3231.113831
1045.000000	-3231.154124	4.027978e-05	-3231.112031
1085.000000	-3231.155772	4.206226e-05	-3231.110134
1125.000000	-3231.157489	4.386745e-05	-3231.108138
1165.000000	-3231.159278	4.569840e-05	-3231.106039
1205.000000	-3231.161140	4.755542e-05	-3231.103835
1245.000000	-3231.163081	4.944247e-05	-3231.101525
1285.000000	-3231.165093	5.135276e-05	-3231.099105
1325.000000	-3231.167183	5.328998e-05	-3231.096574
1365.000000	-3231.169350	5.525436e-05	-3231.093928
1405.000000	-3231.171603	5.725088e-05	-3231.091166
1445.000000	-3231.173931	5.927077e-05	-3231.088285
1485.000000	-3231.176340	6.131864e-05	-3231.085282
1525.000000	-3231.178832	6.339477e-05	-3231.082155
1565.000000	-3231.181417	6.550497e-05	-3231.078902
1605.000000	-3231.184080	6.763863e-05	-3231.075520
1645.000000	-3231.186830	6.980125e-05	-3231.072007
1685.000000	-3231.189672	7.199595e-05	-3231.068359
1725.000000	-3231.192604	7.422004e-05	-3231.064574
1765.000000	-3231.195621	7.647071e-05	-3231.060651
1805.000000	-3231.198730	7.875095e-05	-3231.056585
1845.000000	-3231.201942	8.106633e-05	-3231.052374
1885.000000	-3231.205236	8.340584e-05	-3231.048016
1925.000000	-3231.208625	8.577506e-05	-3231.043508
1965.000000	-3231.212110	8.817401e-05	-3231.038848
