T(K)	A_lat(eV/cell)	S_lat(eV/K.cell)	U_lat(eV/cell)	Cv(eV/K.cell)
5.000000	-3231.109619	0.000000	0.000000	0.000000
45.000000	-3231.109619	0.000000	0.000000	0.000000
85.000000	-3231.109619	0.000000	0.000000	0.000000
125.000000	-3231.109619	0.000000	0.000000	0.000000
165.000000	-3231.109619	0.000000	0.000000	0.000000
205.000000	-3231.109619	0.000000	0.000000	0.000000
245.000000	-3231.109619	0.000000	0.000000	0.000000
285.000000	-3231.109619	0.000000	0.000000	0.000000
325.000000	-3231.109619	0.000000	0.000000	0.000000
365.000000	-3231.109619	0.000000	0.000000	0.000000
405.000000	-3231.109619	0.000000	0.000000	0.000000
445.000000	-3231.109619	0.000000	0.000000	0.000000
485.000000	-3231.109619	0.000000	0.000000	0.000000
525.000000	-3231.109619	0.000000	0.000000	0.000000
565.000000	-3231.109619	0.000000	0.000000	0.000000
605.000000	-3231.109619	0.000000	0.000000	0.000000
645.000000	-3231.109619	0.000000	0.000000	0.000000
685.000000	-3231.109619	0.000000	0.000000	0.000000
725.000000	-3231.109619	0.000000	0.000000	0.000000
765.000000	-3231.109619	0.000000	0.000000	0.000000
805.000000	-3231.109619	0.000000	0.000000	0.000000
845.000000	-3231.109619	0.000000	0.000000	0.000000
885.000000	-3231.109619	0.000000	0.000000	0.000000
925.000000	-3231.109619	0.000000	0.000000	0.000000
965.000000	-3231.109619	0.000000	0.000000	0.000000
1005.000000	-3231.109619	0.000000	0.000000	0.000000
1045.000000	-3231.109619	0.000000	0.000000	0.000000
1085.000000	-3231.109619	0.000000	0.000000	0.000000
1125.000000	-3231.109619	0.000000	0.000000	0.000000
1165.000000	-3231.109619	0.000000	0.000000	0.000000
1205.000000	-3231.109619	0.000000	0.000000	0.000000
1245.000000	-3231.109619	0.000000	0.000000	0.000000
1285.000000	-3231.109619	0.000000	0.000000	0.000000
1325.000000	-3231.109619	0.000000	0.000000	0.000000
1365.000000	-3231.109619	0.000000	0.000000	0.000000
1405.000000	-3231.109619	0.000000	0.000000	0.000000
1445.000000	-3231.109619	0.000000	0.000000	0.000000
1485.000000	-3231.109619	0.000000	0.000000	0.000000
1525.000000	-3231.109619	0.000000	0.000000	0.000000
1565.000000	-3231.109619	0.000000	0.000000	0.000000
1605.000000	-3231.109619	0.000000	0.000000	0.000000
1645.000000	-3231.109619	0.000000	0.000000	0.000000
1685.000000	-3231.109619	0.000000	0.000000	0.000000
1725.000000	-3231.109619	0.000000	0.000000	0.000000
1765.000000	-3231.109619	0.000000	0.000000	0.000000
1805.000000	-3231.109619	0.000000	0.000000	0.000000
1845.000000	-3231.109619	0.000000	0.000000	0.000000
1885.000000	-3231.109619	0.000000	0.000000	0.000000
1925.000000	-3231.109619	0.000000	0.000000	0.000000
1965.000000	-3231.109619	0.000000	0.000000	0.000000
