T(K)	A(NVT)(eV/cell)	U(NVT)(eV/cell)	S(NVT)(eV/cell)	Cv(T)(eV/cell)	Cv(J/K.mol)
5.000000	-3231.127441	-3231.127441	0.000000	0.000000	0.000000
45.000000	-3231.127472	-3231.127400	0.000002	0.000000	0.000000
85.000000	-3231.127565	-3231.127307	0.000003	0.000000	0.000000
125.000000	-3231.127716	-3231.127157	0.000004	0.000000	0.000000
165.000000	-3231.127924	-3231.126949	0.000006	0.000000	0.000000
205.000000	-3231.128189	-3231.126685	0.000007	0.000000	0.000000
245.000000	-3231.128511	-3231.126363	0.000009	0.000000	0.000000
285.000000	-3231.128890	-3231.125984	0.000010	0.000000	0.000000
325.000000	-3231.129327	-3231.125548	0.000012	0.000000	0.000000
365.000000	-3231.129822	-3231.125053	0.000013	0.000000	0.000000
405.000000	-3231.130373	-3231.124498	0.000015	0.000000	0.000000
445.000000	-3231.130983	-3231.123884	0.000016	0.000000	0.000000
485.000000	-3231.131650	-3231.123208	0.000017	0.000000	0.000000
525.000000	-3231.132376	-3231.122470	0.000019	0.000000	0.000000
565.000000	-3231.133161	-3231.121666	0.000020	0.000000	0.000000
605.000000	-3231.134005	-3231.120797	0.000022	0.000000	0.000000
645.000000	-3231.134909	-3231.119858	0.000023	0.000000	0.000000
685.000000	-3231.135873	-3231.118849	0.000025	0.000000	0.000000
725.000000	-3231.136898	-3231.117768	0.000026	0.000000	0.000000
765.000000	-3231.137986	-3231.116610	0.000028	0.000000	0.000000
805.000000	-3231.139136	-3231.115375	0.000030	0.000000	0.000000
845.000000	-3231.140349	-3231.114059	0.000031	0.000000	0.000000
885.000000	-3231.141626	-3231.112661	0.000033	0.000000	0.000000
925.000000	-3231.142969	-3231.111177	0.000034	0.000000	0.000000
965.000000	-3231.144378	-3231.109605	0.000036	0.000000	0.000000
1005.000000	-3231.145853	-3231.107943	0.000038	0.000000	0.000000
1045.000000	-3231.147395	-3231.106188	0.000039	0.000000	0.000000
1085.000000	-3231.149007	-3231.104337	0.000041	0.000000	0.000000
1125.000000	-3231.150689	-3231.102389	0.000043	0.000000	0.000000
1165.000000	-3231.152440	-3231.100341	0.000045	0.000000	0.000000
1205.000000	-3231.154262	-3231.098190	0.000047	0.000000	0.000000
1245.000000	-3231.156159	-3231.095934	0.000048	0.000000	0.000000
1285.000000	-3231.158130	-3231.093571	0.000050	0.000000	0.000000
1325.000000	-3231.160174	-3231.091099	0.000052	0.000000	0.000000
1365.000000	-3231.162297	-3231.088515	0.000054	0.000000	0.000000
1405.000000	-3231.164498	-3231.085816	0.000056	0.000000	0.000000
1445.000000	-3231.166774	-3231.083001	0.000058	0.000000	0.000000
1485.000000	-3231.169130	-3231.080067	0.000060	0.000000	0.000000
1525.000000	-3231.171572	-3231.077012	0.000062	0.000000	0.000000
1565.000000	-3231.174095	-3231.073833	0.000064	0.000000	0.000000
1605.000000	-3231.176699	-3231.070527	0.000066	0.000000	0.000000
1645.000000	-3231.179387	-3231.067093	0.000068	0.000000	0.000000
1685.000000	-3231.182166	-3231.063527	0.000070	0.000000	0.000000
1725.000000	-3231.185033	-3231.059828	0.000073	0.000000	0.000000
1765.000000	-3231.187983	-3231.055993	0.000075	0.000000	0.000000
1805.000000	-3231.191023	-3231.052018	0.000077	0.000000	0.000000
1845.000000	-3231.194159	-3231.047903	0.000079	0.000000	0.000000
1885.000000	-3231.197386	-3231.043643	0.000082	0.000000	0.000000
1925.000000	-3231.200700	-3231.039237	0.000084	0.000000	0.000000
1965.000000	-3231.204113	-3231.034682	0.000086	0.000000	0.000000
