Volume(A^3)	E0(eV/cell)	E0+zpe(eV/cell)	U(eV/cell)	S(eV/cell)	Cv(eV/cell)	F(eV/Cell)
Temperature(K):725.000000
58.930408	-3231.073486	-3231.073486	-3231.064173	0.000026	0.000051	-3231.082667
59.537941	-3231.107666	-3231.107666	-3231.098197	0.000026	0.000051	-3231.116946
60.145470	-3231.127441	-3231.127441	-3231.117768	0.000026	0.000052	-3231.136898
60.752998	-3231.133789	-3231.133789	-3231.123905	0.000027	0.000053	-3231.143410
61.360531	-3231.127686	-3231.127686	-3231.117582	0.000028	0.000054	-3231.137537
61.968060	-3231.109619	-3231.109619	-3231.099363	0.000028	0.000054	-3231.119587
62.575588	-3231.080322	-3231.080322	-3231.069841	0.000028	0.000055	-3231.090471
63.183121	-3231.040527	-3231.040527	-3231.029896	0.000029	0.000056	-3231.050775
63.790649	-3230.990723	-3230.990723	-3230.979971	0.000029	0.000056	-3231.001071
64.398178	-3230.931641	-3230.931641	-3230.920574	0.000030	0.000058	-3230.942296
