T(K)	Cv(J/mol.K.cell)	Cv_full(J/mol.K.cell)	DOS(states/eV)
5.000000	3.677090e-02	nan	1.560530
45.000000	3.333822e-01	nan	1.572055
85.000000	6.297219e-01	nan	1.572055
125.000000	9.260616e-01	nan	1.572055
165.000000	1.222401e+00	nan	1.572055
205.000000	1.518741e+00	nan	1.572055
245.000000	1.815081e+00	nan	1.572055
285.000000	2.111421e+00	2.132259e+00	1.572055
325.000000	2.407760e+00	2.441921e+00	1.572055
365.000000	2.704100e+00	2.757115e+00	1.572055
405.000000	3.000440e+00	3.078991e+00	1.572055
445.000000	3.296779e+00	3.408676e+00	1.572055
485.000000	3.593119e+00	3.747232e+00	1.572055
525.000000	3.889459e+00	4.095624e+00	1.572055
565.000000	4.185799e+00	4.454694e+00	1.572055
605.000000	4.482138e+00	4.825147e+00	1.572055
645.000000	4.778478e+00	5.207541e+00	1.572055
685.000000	5.074818e+00	5.602296e+00	1.572055
725.000000	5.371157e+00	6.009701e+00	1.572055
765.000000	5.667497e+00	6.429930e+00	1.572055
805.000000	5.963837e+00	6.863064e+00	1.572055
845.000000	6.260177e+00	7.309111e+00	1.572055
885.000000	6.556516e+00	7.768029e+00	1.572055
925.000000	6.852856e+00	8.239745e+00	1.572055
965.000000	7.149196e+00	8.724175e+00	1.572055
1005.000000	7.445535e+00	9.221238e+00	1.572055
1045.000000	7.741875e+00	9.730867e+00	1.572055
1085.000000	8.038215e+00	1.025302e+01	1.572055
1125.000000	8.334555e+00	1.078769e+01	1.572055
1165.000000	8.630894e+00	1.133490e+01	1.572055
1205.000000	8.927234e+00	1.189469e+01	1.572055
1245.000000	9.223574e+00	1.246715e+01	1.572055
1285.000000	9.519914e+00	1.305241e+01	1.572055
1325.000000	9.816253e+00	1.365058e+01	1.572055
1365.000000	1.011259e+01	1.426182e+01	1.572055
1405.000000	1.040893e+01	1.488631e+01	1.572055
1445.000000	1.070527e+01	1.552420e+01	1.572055
1485.000000	1.100161e+01	1.617566e+01	1.572055
1525.000000	1.129795e+01	1.684087e+01	1.572055
1565.000000	1.159429e+01	1.751997e+01	1.572055
1605.000000	1.189063e+01	1.821310e+01	1.572055
1645.000000	1.218697e+01	1.892038e+01	1.572055
1685.000000	1.248331e+01	1.964190e+01	1.572055
1725.000000	1.277965e+01	2.037774e+01	1.572055
1765.000000	1.307599e+01	2.112793e+01	1.572055
1805.000000	1.337233e+01	2.189249e+01	1.572055
1845.000000	1.366867e+01	2.267139e+01	1.572055
1885.000000	1.396501e+01	2.346460e+01	1.572055
1925.000000	1.426135e+01	2.427204e+01	1.572055
1965.000000	1.455769e+01	2.509360e+01	1.572055
