T(K)	N_ce(e/cell)	N_sd(e/cell)	R_pe(Om.m)	R_sd(Om.m)	R_ee(Om.m)
5.000000	0.000000	0.000000	nan	nan	nan
45.000000	0.049723	0.000000	nan	nan	nan
85.000000	0.097275	0.000000	nan	nan	nan
125.000000	0.144306	0.000000	nan	nan	nan
165.000000	0.191477	0.000000	nan	nan	nan
205.000000	0.255782	0.000000	nan	nan	nan
245.000000	0.306261	0.000000	nan	nan	nan
285.000000	0.359667	0.000000	nan	nan	nan
325.000000	0.416899	0.000000	nan	nan	nan
365.000000	0.500427	0.000000	nan	nan	nan
405.000000	0.569291	0.000000	nan	nan	nan
445.000000	0.643790	0.000000	nan	nan	nan
485.000000	0.723851	0.000000	nan	nan	nan
525.000000	0.838677	0.000000	nan	nan	nan
565.000000	0.930206	0.000000	nan	nan	nan
605.000000	1.025321	0.000000	nan	nan	nan
645.000000	1.155951	0.000000	nan	nan	nan
685.000000	1.255546	0.000000	nan	nan	nan
725.000000	1.355478	0.000000	nan	nan	nan
765.000000	1.454787	0.000000	nan	nan	nan
805.000000	1.585113	0.000000	nan	nan	nan
845.000000	1.680846	0.000000	nan	nan	nan
885.000000	1.774865	0.000000	nan	nan	nan
925.000000	1.867435	0.000000	nan	nan	nan
965.000000	1.989704	0.000000	nan	nan	nan
1005.000000	2.081591	0.000000	nan	nan	nan
1045.000000	2.175089	0.000000	nan	nan	nan
1085.000000	2.271533	0.000000	nan	nan	nan
1125.000000	2.407202	0.000000	nan	nan	nan
1165.000000	2.515731	0.000000	nan	nan	nan
1205.000000	2.631506	0.000000	nan	nan	nan
1245.000000	2.799024	0.000000	nan	nan	nan
1285.000000	2.935080	0.000000	nan	nan	nan
1325.000000	3.080481	0.000000	nan	nan	nan
1365.000000	3.235107	0.000000	nan	nan	nan
1405.000000	3.455007	0.000000	nan	nan	nan
1445.000000	3.628853	0.000000	nan	nan	nan
1485.000000	3.809216	0.000000	nan	nan	nan
1525.000000	3.995112	0.000000	nan	nan	nan
1565.000000	4.249282	0.000000	nan	nan	nan
1605.000000	4.442268	0.000000	nan	nan	nan
1645.000000	4.636063	0.000000	nan	nan	nan
1685.000000	4.829586	0.000000	nan	nan	nan
1725.000000	5.085692	0.000000	nan	nan	nan
1765.000000	5.274857	0.000000	nan	nan	nan
1805.000000	5.461115	0.000000	nan	nan	nan
1845.000000	5.644013	0.000000	nan	nan	nan
1885.000000	5.882444	0.000000	nan	nan	nan
1925.000000	6.056387	0.000000	nan	nan	nan
1965.000000	6.226230	0.000000	nan	nan	nan
