T(K)	N_ce(e/cell)	N_sd(e/cell)	R_pe(Om.m)	R_sd(Om.m)	R_ee(Om.m)
5.000000	0.000000	0.000000	nan	nan	nan
45.000000	0.049723	0.000000	0.000000e+00	nan	0.000000e+00
85.000000	0.097275	0.000000	0.000000e+00	nan	0.000000e+00
125.000000	0.144306	0.000000	0.000000e+00	nan	0.000000e+00
165.000000	0.191477	0.000000	0.000000e+00	nan	0.000000e+00
205.000000	0.255782	0.000000	0.000000e+00	nan	0.000000e+00
245.000000	0.306261	0.000000	0.000000e+00	nan	0.000000e+00
285.000000	0.359667	0.000000	0.000000e+00	nan	0.000000e+00
325.000000	0.416899	0.000000	0.000000e+00	nan	0.000000e+00
365.000000	0.500427	0.000000	0.000000e+00	nan	0.000000e+00
405.000000	0.569291	0.000000	0.000000e+00	nan	0.000000e+00
445.000000	0.643790	0.000000	0.000000e+00	nan	0.000000e+00
485.000000	0.723851	0.000000	0.000000e+00	nan	0.000000e+00
525.000000	0.838677	0.000000	0.000000e+00	nan	0.000000e+00
565.000000	0.930206	0.000000	0.000000e+00	nan	0.000000e+00
605.000000	1.025321	0.000000	0.000000e+00	nan	0.000000e+00
645.000000	1.155951	0.000000	0.000000e+00	nan	0.000000e+00
685.000000	1.255546	0.000000	0.000000e+00	nan	0.000000e+00
725.000000	1.355478	0.000000	0.000000e+00	nan	0.000000e+00
765.000000	1.454787	0.000000	0.000000e+00	nan	0.000000e+00
805.000000	1.585113	0.000000	0.000000e+00	nan	0.000000e+00
845.000000	1.680846	0.000000	0.000000e+00	nan	0.000000e+00
885.000000	1.774865	0.000000	0.000000e+00	nan	0.000000e+00
925.000000	1.867435	0.000000	0.000000e+00	nan	0.000000e+00
965.000000	1.989704	0.000000	0.000000e+00	nan	0.000000e+00
1005.000000	2.081591	0.000000	0.000000e+00	nan	0.000000e+00
1045.000000	2.175089	0.000000	0.000000e+00	nan	0.000000e+00
1085.000000	2.271533	0.000000	0.000000e+00	nan	0.000000e+00
1125.000000	2.407202	0.000000	0.000000e+00	nan	0.000000e+00
1165.000000	2.515731	0.000000	0.000000e+00	nan	0.000000e+00
1205.000000	2.631506	0.000000	0.000000e+00	nan	0.000000e+00
1245.000000	2.799024	0.000000	0.000000e+00	nan	0.000000e+00
1285.000000	2.935080	0.000000	0.000000e+00	nan	0.000000e+00
1325.000000	3.080481	0.000000	0.000000e+00	nan	0.000000e+00
1365.000000	3.235107	0.000000	0.000000e+00	nan	0.000000e+00
1405.000000	3.455007	0.000000	0.000000e+00	nan	0.000000e+00
1445.000000	3.628853	0.000000	0.000000e+00	nan	0.000000e+00
1485.000000	3.809216	0.000000	0.000000e+00	nan	0.000000e+00
1525.000000	3.995112	0.000000	0.000000e+00	nan	0.000000e+00
1565.000000	4.249282	0.000000	0.000000e+00	nan	0.000000e+00
1605.000000	4.442268	0.000000	0.000000e+00	nan	0.000000e+00
1645.000000	4.636063	0.000000	0.000000e+00	nan	0.000000e+00
1685.000000	4.829586	0.000000	0.000000e+00	nan	0.000000e+00
1725.000000	5.085692	0.000000	0.000000e+00	nan	0.000000e+00
1765.000000	5.274857	0.000000	0.000000e+00	nan	0.000000e+00
1805.000000	5.461115	0.000000	0.000000e+00	nan	0.000000e+00
1845.000000	5.644013	0.000000	0.000000e+00	nan	0.000000e+00
1885.000000	5.882444	0.000000	0.000000e+00	nan	0.000000e+00
1925.000000	6.056387	0.000000	0.000000e+00	nan	0.000000e+00
1965.000000	6.226230	0.000000	0.000000e+00	nan	0.000000e+00
