T(K)	TEC_V0(K^-1)	TEC_V0(T0)(K^-1)
0.000000	6.682314e-282	inf
0.000000	1.544405e+54	inf
0.000000	-2.444421e+55	-1.497298e+39
-316061577013747859324928.000000	-4.260488e-06	-1.550850e-23
-1.676185	2.268460e-05	1.399165e-23
0.000000	2.123659e+19	2.415712e+00
-1.670895	-3.760514e+19	-8.472013e-01
8718669261670711296.000000	1.652950e+01	1.541618e-19
-1.665610	-3.729054e+01	-1.483687e-19
-0.000000	5.066845e+20	8.789574e-01
-1.660325	-1.211025e+21	-8.525948e-01
-244230211502080.000000	-1.888254e+07	-5.503357e-15
-1.655035	2.416965e+07	3.005136e-15
0.000000	4.146252e+21	2.973131e-01
-1.649750	-7.156185e+21	-3.439162e-01
11.333120	1.420853e+21	4.356594e-02
-1.644465	-1.819432e+21	-3.563280e-02
816021369162261747458378465017856.000000	5.678556e-11	7.604622e-34
-1.639180	-7.884875e-11	-6.515851e-34
-0.000308	5.762947e+22	3.109175e-01
-1.633890	-1.019009e+23	-3.641916e-01
-21828943088855895910033391616.000000	-1.005959e-05	-2.254180e-29
-1.628605	1.730681e-05	2.599190e-29
30891.048828	1.910796e+19	1.830890e-05
-1.621640	5.289084e+19	3.237014e-05
-508352320.000000	-8.995946e+05	-1.047266e-05
-1.611060	3.121487e+07	6.824461e-08
0.000024	1.603852e+17	9.824184e+00
-1.600490	-8.413400e+17	-3.062541e+00
-0.000000	4.479710e+18	2.763043e+00
-1.589920	-2.238884e+19	-2.546783e+00
0.000000	3.952037e+19	8.903494e-01
-1.579340	-9.125027e+19	-8.510428e-01
-0.000000	2.058606e+20	8.190624e-01
-1.568770	-5.379621e+20	-9.332154e-01
-4325839609257779580338528360324923392.000000	-4.648104e-16	-3.272392e-37
-1.558200	1.066079e-15	3.107110e-37
-0.000000	3.788320e+21	4.710211e-01
-1.547620	-4.434029e+21	-3.179486e-01
-3260238883211847657391652864.000000	-3.621181e-06	-1.740289e-28
-1.537050	5.658097e-06	1.734876e-28
140602381434880.000000	1.679334e+08	3.288903e-15
-1.526480	-3.295693e+08	-4.413534e-15
-6.717440	-1.239506e+22	-1.024295e-01
-1.515910	1.815760e+22	9.796233e-02
110603.796875	1.505022e+18	5.378917e-06
-1.505330	-1.985349e+18	-4.448824e-06
4103547687220941946880.000000	9.206407e+01	1.382647e-22
-1.489520	-1.438502e+02	-1.378346e-22
