T(K)	R_pe(Om.m)	lamada(W/K.m)
5.000000	nan	nan
45.000000	0.000000e+00	inf
85.000000	0.000000e+00	inf
125.000000	0.000000e+00	inf
165.000000	0.000000e+00	inf
205.000000	0.000000e+00	inf
245.000000	0.000000e+00	inf
285.000000	0.000000e+00	inf
325.000000	0.000000e+00	inf
365.000000	0.000000e+00	inf
405.000000	0.000000e+00	inf
445.000000	0.000000e+00	inf
485.000000	0.000000e+00	inf
525.000000	0.000000e+00	inf
565.000000	0.000000e+00	inf
605.000000	0.000000e+00	inf
645.000000	0.000000e+00	inf
685.000000	0.000000e+00	inf
725.000000	0.000000e+00	inf
765.000000	0.000000e+00	inf
805.000000	0.000000e+00	inf
845.000000	0.000000e+00	inf
885.000000	0.000000e+00	inf
925.000000	0.000000e+00	inf
965.000000	0.000000e+00	inf
1005.000000	0.000000e+00	inf
1045.000000	0.000000e+00	inf
1085.000000	0.000000e+00	inf
1125.000000	0.000000e+00	inf
1165.000000	0.000000e+00	inf
1205.000000	0.000000e+00	inf
1245.000000	0.000000e+00	inf
1285.000000	0.000000e+00	inf
1325.000000	0.000000e+00	inf
1365.000000	0.000000e+00	inf
1405.000000	0.000000e+00	inf
1445.000000	0.000000e+00	inf
1485.000000	0.000000e+00	inf
1525.000000	0.000000e+00	inf
1565.000000	0.000000e+00	inf
1605.000000	0.000000e+00	inf
1645.000000	0.000000e+00	inf
1685.000000	0.000000e+00	inf
1725.000000	0.000000e+00	inf
1765.000000	0.000000e+00	inf
1805.000000	0.000000e+00	inf
1845.000000	0.000000e+00	inf
1885.000000	0.000000e+00	inf
1925.000000	0.000000e+00	inf
1965.000000	0.000000e+00	inf
