T(K)	A_lat(eV/cell)	A_e(eV/cell)	U_lat(eV/cell)	U_e(eV/cell)	S_lat(eV/cell)	S_e(eV/cell)	Rows
5.000000	0.000000	1.378396e-09	0.000000	1.378396e-09	0.000000	0.000000e+00	0
45.000000	0.000000	-3.093990e-05	0.000000	4.392820e-05	0.000000	1.663736e-06	8
85.000000	0.000000	-1.277448e-04	0.000000	1.412918e-04	0.000000	3.165136e-06	14
125.000000	0.000000	-2.842468e-04	0.000000	2.975396e-04	0.000000	4.654292e-06	20
165.000000	0.000000	-5.004562e-04	0.000000	5.132488e-04	0.000000	6.143667e-06	27
205.000000	0.000000	-7.764271e-04	0.000000	7.884572e-04	0.000000	7.633582e-06	34
245.000000	0.000000	-1.111763e-03	0.000000	1.123298e-03	0.000000	9.122699e-06	40
285.000000	0.000000	-1.506681e-03	0.000000	1.518055e-03	0.000000	1.061311e-05	46
325.000000	0.000000	-1.961468e-03	0.000000	1.973188e-03	0.000000	1.210663e-05	53
365.000000	0.000000	-2.476295e-03	0.000000	2.489363e-03	0.000000	1.360454e-05	60
405.000000	0.000000	-3.050659e-03	0.000000	3.067483e-03	0.000000	1.510652e-05	66
445.000000	0.000000	-3.685173e-03	0.000000	3.708673e-03	0.000000	1.661538e-05	72
485.000000	0.000000	-4.381239e-03	0.000000	4.414301e-03	0.000000	1.813514e-05	80
525.000000	0.000000	-5.137271e-03	0.000000	5.185963e-03	0.000000	1.966330e-05	86
565.000000	0.000000	-5.954639e-03	0.000000	6.025467e-03	0.000000	2.120373e-05	92
605.000000	0.000000	-6.833893e-03	0.000000	6.934797e-03	0.000000	2.275816e-05	98
645.000000	0.000000	-7.777357e-03	0.000000	7.916124e-03	0.000000	2.433098e-05	106
685.000000	0.000000	-8.782516e-03	0.000000	8.971710e-03	0.000000	2.591858e-05	112
725.000000	0.000000	-9.851586e-03	0.000000	1.010396e-02	0.000000	2.752489e-05	118
765.000000	0.000000	-1.098531e-02	0.000000	1.131535e-02	0.000000	2.915118e-05	124
805.000000	0.000000	-1.218673e-02	0.000000	1.260839e-02	0.000000	3.080139e-05	132
845.000000	0.000000	-1.345235e-02	0.000000	1.398562e-02	0.000000	3.247098e-05	138
885.000000	0.000000	-1.478507e-02	0.000000	1.544961e-02	0.000000	3.416348e-05	144
925.000000	0.000000	-1.618692e-02	0.000000	1.700291e-02	0.000000	3.588091e-05	151
965.000000	0.000000	-1.765792e-02	0.000000	1.864808e-02	0.000000	3.762279e-05	158
1005.000000	0.000000	-1.919729e-02	0.000000	2.038766e-02	0.000000	3.938800e-05	164
1045.000000	0.000000	-2.080732e-02	0.000000	2.222413e-02	0.000000	4.117843e-05	170
1085.000000	0.000000	-2.249067e-02	0.000000	2.416001e-02	0.000000	4.299602e-05	177
1125.000000	0.000000	-2.424695e-02	0.000000	2.619778e-02	0.000000	4.483976e-05	184
1165.000000	0.000000	-2.607533e-02	0.000000	2.833991e-02	0.000000	4.670836e-05	190
1205.000000	0.000000	-2.797856e-02	0.000000	3.058883e-02	0.000000	4.860364e-05	196
1245.000000	0.000000	-2.996252e-02	0.000000	3.294707e-02	0.000000	5.052979e-05	204
1285.000000	0.000000	-3.201941e-02	0.000000	3.541704e-02	0.000000	5.247973e-05	210
1325.000000	0.000000	-3.415474e-02	0.000000	3.800118e-02	0.000000	5.445729e-05	216
1365.000000	0.000000	-3.636968e-02	0.000000	4.070208e-02	0.000000	5.646283e-05	222
1405.000000	0.000000	-3.867235e-02	0.000000	4.352222e-02	0.000000	5.850148e-05	230
1445.000000	0.000000	-4.105107e-02	0.000000	4.646407e-02	0.000000	6.056411e-05	236
1485.000000	0.000000	-4.351324e-02	0.000000	4.953032e-02	0.000000	6.265559e-05	242
1525.000000	0.000000	-4.606424e-02	0.000000	5.272347e-02	0.000000	6.477883e-05	249
1565.000000	0.000000	-4.870232e-02	0.000000	5.604611e-02	0.000000	6.693191e-05	256
1605.000000	0.000000	-5.142348e-02	0.000000	5.950097e-02	0.000000	6.911181e-05	262
1645.000000	0.000000	-5.423336e-02	0.000000	6.309062e-02	0.000000	7.132157e-05	268
1685.000000	0.000000	-5.713804e-02	0.000000	6.681785e-02	0.000000	7.356433e-05	275
1725.000000	0.000000	-6.013421e-02	0.000000	7.068531e-02	0.000000	7.583740e-05	282
1765.000000	0.000000	-6.321763e-02	0.000000	7.469579e-02	0.000000	7.813791e-05	288
1805.000000	0.000000	-6.639439e-02	0.000000	7.885191e-02	0.000000	8.046887e-05	294
1845.000000	0.000000	-6.967559e-02	0.000000	8.315654e-02	0.000000	8.283584e-05	302
1885.000000	0.000000	-7.304214e-02	0.000000	8.761236e-02	0.000000	8.522785e-05	308
1925.000000	0.000000	-7.650504e-02	0.000000	9.222211e-02	0.000000	8.765047e-05	314
1965.000000	0.000000	-8.006513e-02	0.000000	9.698863e-02	0.000000	9.010370e-05	320
